candidate,prompt_index,recovery,static_gap,no_gap
baseline_clip_0p25_4,4,-26.3711874060621,0.0007722731060850752,False
baseline_clip_0p25_4,7,0.5639917441607243,0.010724353235221251,False
baseline_clip_0p25_4,9,1.003769554323054,0.0007550975899679457,False
baseline_clip_0p25_4,10,0.7157048661540011,0.13306293354753373,False
loose_clip_0p125_8,4,-79.78322111629217,0.0007722731060850752,False
loose_clip_0p125_8,7,0.6823403470583415,0.010724353235221251,False
loose_clip_0p125_8,9,0.9748194105623701,0.0007550975899679457,False
loose_clip_0p125_8,10,0.6896096530086229,0.13306293354753373,False
tight_clip_0p5_2,4,5.939623575264381,0.0007722731060850752,False
tight_clip_0p5_2,7,0.6006560711988609,0.010724353235221251,False
tight_clip_0p5_2,9,1.0203295946773652,0.0007550975899679457,False
tight_clip_0p5_2,10,0.7807915902524067,0.13306293354753373,False
