prompt_index,surface,layer_index,base_position,final_position,strict_set_leaving,top1_count
0,attention_out_projection_input,5,100,20000,0.5365853658536586,41
0,attention_out_projection_input,15,100,20000,0.6585365853658536,41
0,attention_out_projection_input,25,100,20000,0.9024390243902439,41
0,attention_out_projection_input,35,100,20000,0.9024390243902439,41
0,mamba_out_projection_input,0,100,20000,0.8536585365853658,82
0,mamba_out_projection_input,1,100,20000,0.9878048780487805,82
0,mamba_out_projection_input,2,100,20000,0.9634146341463414,82
0,mamba_out_projection_input,3,100,20000,0.9390243902439024,82
0,mamba_out_projection_input,4,100,20000,0.9878048780487805,82
0,mamba_out_projection_input,6,100,20000,0.9512195121951219,82
0,mamba_out_projection_input,7,100,20000,0.975609756097561,82
0,mamba_out_projection_input,8,100,20000,0.9878048780487805,82
0,mamba_out_projection_input,9,100,20000,0.975609756097561,82
0,mamba_out_projection_input,10,100,20000,0.9634146341463414,82
0,mamba_out_projection_input,11,100,20000,0.9512195121951219,82
0,mamba_out_projection_input,12,100,20000,0.8902439024390244,82
0,mamba_out_projection_input,13,100,20000,0.9390243902439024,82
0,mamba_out_projection_input,14,100,20000,0.8536585365853658,82
0,mamba_out_projection_input,16,100,20000,0.9390243902439024,82
0,mamba_out_projection_input,17,100,20000,0.9634146341463414,82
0,mamba_out_projection_input,18,100,20000,0.9024390243902439,82
0,mamba_out_projection_input,19,100,20000,0.926829268292683,82
0,mamba_out_projection_input,20,100,20000,0.9634146341463414,82
0,mamba_out_projection_input,21,100,20000,0.926829268292683,82
0,mamba_out_projection_input,22,100,20000,0.926829268292683,82
0,mamba_out_projection_input,23,100,20000,0.8902439024390244,82
0,mamba_out_projection_input,24,100,20000,0.8414634146341463,82
0,mamba_out_projection_input,26,100,20000,0.8658536585365854,82
0,mamba_out_projection_input,27,100,20000,0.9390243902439024,82
0,mamba_out_projection_input,28,100,20000,0.9390243902439024,82
0,mamba_out_projection_input,29,100,20000,0.9390243902439024,82
0,mamba_out_projection_input,30,100,20000,0.8658536585365854,82
0,mamba_out_projection_input,31,100,20000,0.926829268292683,82
0,mamba_out_projection_input,32,100,20000,0.8292682926829268,82
0,mamba_out_projection_input,33,100,20000,0.8170731707317074,82
0,mamba_out_projection_input,34,100,20000,0.8292682926829268,82
0,mamba_out_projection_input,36,100,20000,0.8170731707317074,82
0,mamba_out_projection_input,37,100,20000,0.8536585365853658,82
0,mamba_out_projection_input,38,100,20000,0.8536585365853658,82
0,mamba_out_projection_input,39,100,20000,0.8048780487804879,82
0,post_block_residual_block_output,0,100,20000,0.5853658536585367,41
0,post_block_residual_block_output,1,100,20000,0.5609756097560976,41
0,post_block_residual_block_output,2,100,20000,0.6097560975609756,41
0,post_block_residual_block_output,3,100,20000,0.6341463414634146,41
0,post_block_residual_block_output,4,100,20000,0.5365853658536586,41
0,post_block_residual_block_output,5,100,20000,0.5121951219512195,41
0,post_block_residual_block_output,6,100,20000,0.5609756097560976,41
