split,surface,seed,pass_gate,n,matched_accuracy,target_accuracy,same_byte_structured_text_accuracy,qwen_substituted_packet_accuracy,best_destructive_control,best_destructive_control_accuracy,matched_minus_target,matched_minus_same_byte_text,matched_minus_qwen_substituted,matched_minus_best_destructive,paired_ci95_low_vs_target,paired_ci95_low_vs_qwen_substituted
validation,full_slice,47,False,299,0.3177257525083612,0.24414715719063546,0.2976588628762542,,shuffled_source_packet,0.27759197324414714,0.07357859531772576,0.02006688963210701,,0.040133779264214076,0.0,
validation,full_slice,53,True,299,0.3210702341137124,0.24414715719063546,0.2976588628762542,,random_same_byte_packet,0.26755852842809363,0.07692307692307693,0.02341137123745818,,0.05351170568561875,0.006688963210702341,
validation,full_slice,59,True,299,0.3210702341137124,0.24414715719063546,0.2976588628762542,,random_same_byte_packet,0.2709030100334448,0.07692307692307693,0.02341137123745818,,0.05016722408026758,0.0033444816053511705,
validation,full_slice,61,True,299,0.3210702341137124,0.24414715719063546,0.2976588628762542,,candidate_derangement,0.25418060200668896,0.07692307692307693,0.02341137123745818,,0.06688963210702342,0.004933110367892981,
validation,full_slice,67,False,299,0.3210702341137124,0.24414715719063546,0.2976588628762542,,candidate_derangement,0.25418060200668896,0.07692307692307693,0.02341137123745818,,0.06688963210702342,-0.0033444816053511705,
validation,qwen_disagreement_slice,47,False,144,0.25,0.2708333333333333,0.2361111111111111,0.3888888888888889,shuffled_source_packet,0.2916666666666667,-0.020833333333333315,0.013888888888888895,-0.1388888888888889,-0.041666666666666685,-0.12170138888888887,-0.2777777777777778
validation,qwen_disagreement_slice,53,False,144,0.25,0.2708333333333333,0.2361111111111111,0.3888888888888889,target_derived_sidecar,0.2777777777777778,-0.020833333333333315,0.013888888888888895,-0.1388888888888889,-0.02777777777777779,-0.11805555555555555,-0.2814236111111111
validation,qwen_disagreement_slice,59,False,144,0.25,0.2708333333333333,0.2361111111111111,0.3888888888888889,target_derived_sidecar,0.2777777777777778,-0.020833333333333315,0.013888888888888895,-0.1388888888888889,-0.02777777777777779,-0.125,-0.2536458333333333
validation,qwen_disagreement_slice,61,False,144,0.25,0.2708333333333333,0.2361111111111111,0.3888888888888889,target_derived_sidecar,0.2777777777777778,-0.020833333333333315,0.013888888888888895,-0.1388888888888889,-0.02777777777777779,-0.125,-0.2569444444444444
validation,qwen_disagreement_slice,67,False,144,0.25,0.2708333333333333,0.2361111111111111,0.3888888888888889,target_derived_sidecar,0.2777777777777778,-0.020833333333333315,0.013888888888888895,-0.1388888888888889,-0.02777777777777779,-0.13194444444444445,-0.2708333333333333
test,full_slice,47,True,1172,0.3242320819112628,0.26535836177474403,0.2977815699658703,,target_derived_sidecar,0.26621160409556316,0.05887372013651876,0.026450511945392496,,0.058020477815699634,0.020883105802047785,
test,full_slice,53,True,1172,0.3250853242320819,0.26535836177474403,0.2977815699658703,,random_same_byte_packet,0.27047781569965873,0.059726962457337884,0.02730375426621162,,0.05460750853242319,0.021331058020477817,
test,full_slice,59,True,1172,0.3250853242320819,0.26535836177474403,0.2977815699658703,,zero_source,0.26535836177474403,0.059726962457337884,0.02730375426621162,,0.059726962457337884,0.020477815699658702,
test,full_slice,61,True,1172,0.3250853242320819,0.26535836177474403,0.2977815699658703,,random_same_byte_packet,0.2738907849829352,0.059726962457337884,0.02730375426621162,,0.05119453924914674,0.018323378839590447,
test,full_slice,67,True,1172,0.32337883959044367,0.26535836177474403,0.2977815699658703,,zero_source,0.26535836177474403,0.058020477815699634,0.02559726962457337,,0.058020477815699634,0.017918088737201365,
test,qwen_disagreement_slice,47,False,473,0.26849894291754756,0.26849894291754756,0.25792811839323465,0.3171247357293869,zero_source,0.26849894291754756,0.0,0.010570824524312905,-0.04862579281183932,0.0,-0.05708245243128964,-0.11205073995771671
test,qwen_disagreement_slice,53,False,473,0.26849894291754756,0.26849894291754756,0.25792811839323465,0.3192389006342495,random_same_byte_packet,0.27061310782241016,0.0,0.010570824524312905,-0.05073995771670192,-0.0021141649048626032,-0.052959830866807604,-0.11839323467230443
test,qwen_disagreement_slice,59,False,473,0.27061310782241016,0.26849894291754756,0.25792811839323465,0.3150105708245243,zero_source,0.26849894291754756,0.0021141649048626032,0.012684989429175508,-0.04439746300211417,0.0021141649048626032,-0.048625792811839326,-0.11316067653276955
test,qwen_disagreement_slice,61,False,473,0.27061310782241016,0.26849894291754756,0.25792811839323465,0.3171247357293869,random_same_byte_packet,0.2727272727272727,0.0021141649048626032,0.012684989429175508,-0.046511627906976716,-0.0021141649048625477,-0.053964059196617335,-0.11416490486257928
test,qwen_disagreement_slice,67,False,473,0.26849894291754756,0.26849894291754756,0.25792811839323465,0.3171247357293869,zero_source,0.26849894291754756,0.0,0.010570824524312905,-0.04862579281183932,0.0,-0.05919661733615222,-0.11316067653276955
