contribution,status,headline_evidence,main_metric,remaining_gap
OpenBookQA 3B shared-basis second public benchmark,new second public-benchmark positive gate and stronger rate point,validation seed stability=5/5 with matched/target/text mean=0.356/0.252/0.326; test seed stability=5/5 with matched/target/text mean=0.378/0.276/0.350,3B payload; test min lift over target=0.102; min lift over same-byte text=0.028; min lift over best destructive=0.100; min CI95 low vs target=0.038,"This promotes OpenBookQA as a second public benchmark beyond ARC and shows the public-basis packet still beats target-only, same-byte text, and destructive controls at 3B. The source decision is still a Qwen choice-loglikelihood cache, so the next ICLR gate is a more native latent/source endpoint and GPU systems measurement."
SciQ text-saturation diagnostic,"documented benchmark limitation, not a promoted headline benchmark",official SciQ splits materialized 11679/1000/1000 train/validation/test; validation matched/target/text=0.712/0.246/0.706,matched-source minus same-byte text=0.006; matched-source minus target=0.466; CI95 low vs target=0.425,"SciQ confirms the source signal is strong, but short answer strings let the matched-byte text control nearly catch up, so using it as a headline benchmark would weaken the fairness story. Keep it as a reviewer-facing limitation and benchmark-selection rationale."
CommonsenseQA non-science validation probe,"live non-science diagnostic, not a strict headline benchmark yet",labeled train/validation materialized as 9741/1221 with no overlap; 12B validation matched/target/text=0.440/0.206/0.440; 2B relaxed-margin seed stability=5/5,2B min lift over target=0.232; min lift over same-byte text=0.013; strict 0.02 text-margin pass count=0/5,"CommonsenseQA confirms the source signal is not science-only, but same-byte text is too close to the packet under the strict 0.02 margin and Hugging Face test labels are unavailable. Use this as the next live method-improvement target, not as an ICLR headline row yet."
HellaSwag 2B non-science adversarial continuation gate,"strong non-science slice, weakened by top-label-copy control",labeled train/validation materialized as 39905/10042 with no overlap; 1024-row fixed run matched/target/text=0.460/0.233/0.386; 5-seed stability=5/5; source-label copy=0.462,2B payload; 5B framed record; min lift over target=0.227; min lift over same-byte text=0.074; matched minus source-label copy=-0.002; min lift over best destructive=0.188; min CI95 low vs target=0.186,"The packet clears target-only, destructive controls, and same-byte choice-prefix text, but it does not beat the stronger one-byte top-label-copy control. Treat HellaSwag as a method-improvement surface until a packet carries more than the source top choice and then widen to full validation."
HellaSwag label-copy and score-packet headroom diagnostic,new reviewer-risk diagnostic / branch weakened,metadata controls clean=True; matched/source-label-copy=0.460/0.462; best rank-bin heldout/source-label heldout=0.465/0.465,matched minus best metadata/activity control=0.215; matched minus source-label copy=-0.002; top-2 oracle heldout=0.734; score packet delta=0.002,"The source top-2 contains substantial headroom, but confidence margin alone does not recover it. Next method branch should learn or calibrate a second-choice repair signal rather than simply quantizing the top-vs-runner-up margin."
HellaSwag train-only public receiver repair falsification,new negative method gate / branch pruned,train-only public receiver dev accuracy=0.309; source-label/public-only/top2-rerank/gated=0.462/0.260/0.364/0.413,best repair condition=public_if_in_source_top2; best repair minus source-label copy=-0.049; source top-2 oracle=0.716; public prediction in source top-2 rate=0.485,A public train-only receiver scorer cannot recover the HellaSwag top-2 headroom. This prunes the eval-only/public-feature repair branch and makes the next valid gate train-split source-score calibration or a true source hidden-summary repair packet.
HellaSwag train-source-score repair falsification,new negative source-score method gate / branch weakened,scored train rows=512; selected policy=top2_margin_8bin; dev/eval=0.461/0.447; source-label/trained-label=0.462/0.459,selected minus best label-copy=-0.015; source top-2/top-4 oracle=0.716/1.000; train source scoring latency=412.72s; record bytes=5B,"Train-source score shape does not beat source-label copy, despite large oracle headroom. This weakens score-only HellaSwag repair and makes source hidden-summary or residual-code repair the next live branch."
HellaSwag source-hidden summary repair falsification,new negative hidden-summary method gate / branch weakened,scored/hidden train rows=512; selected layer/ridge=-1/100.0; hidden-label/source-label eval=0.414/0.462; hidden-packet eval=0.413,hidden packet minus source-label copy=-0.049; hidden packet minus same-byte text=0.055; CI95 vs source-label=-0.086/-0.013; source top-2 oracle=0.716; hidden train/eval forward=257.7/332.3s; record bytes=5B,"A last-layer train-only source-hidden ridge scorer overfits train and underperforms raw source-label copy on frozen validation, even though the packet still beats same-byte text and destructive controls. This prunes simple hidden-label/hidden-residual repair; any revived hidden branch must use a different common-basis learner, layer sweep, denoising/OT objective, or cross-model supervision."
HellaSwag source-hidden innovation repair,new positive hard-surface method gate feeding anchored stability,scored/hidden train rows=512; selected view/ridge=score_hidden_residual/1000.0; dev/eval=0.492/0.499; best label-copy=0.462,selected minus best label-copy=0.037; CI95 low/high=0.010/0.061; zero/wrong/roll hidden controls=0.462/0.396/0.360; record bytes=5B,This is the first HellaSwag repair row that beats source-label copy with positive paired uncertainty while preserving the fixed-byte source-private packet boundary. A separate anchored split-stability gate now tests whether the score+hidden-residual method survives multiple train/dev splits; this row remains the single-split method discovery artifact.
HellaSwag anchored hidden-innovation split stability,"positive cached split gate, weakened by train-sample stress",anchored split seeds pass=5/5; eval mean/min/max=0.503/0.494/0.528; unrestricted diagnostic pass=3/5,min delta vs best label-copy=0.032; min CI95 low=0.007; min zero-hidden delta=0.032; wrong/candidate-roll max=0.400/0.377; record bytes=5B,"This upgrades HellaSwag from a single split to a cached split-stable anchored method, but a new train-row-sample stress now shows the branch is not yet robust enough for headline promotion."
