model,surface,layer_scope,hook_or_artifact,evidence_class,cached_artifact,strict_set_leaving,comparison_block_output,decode_positions,status,note
Granite-4.0-H-Small,post_block_residual_block_output,all_40_layers,"decoder layer output or output_hidden_states",cached_release_claim,release/results/set_leaving/set_leaving.json,0.566234756098,0.566234756098,"100_to_final_release_grid",measured_high_drift,"Block-output reference is in the 53-67% high-drift regime."
Granite-4.0-H-Small,ssm_input_x,mamba_layers_0-4_6-14_16-24_26-34_36-39,"instrument local hidden_states after conv split before scan",static_hook_only,none,NA,0.566234756098,NA,needs_tiny_gpu_sanity,"No cached internal activation packet found; requires temporary Mamba wrapper."
Granite-4.0-H-Small,ssm_BC_parameter_generation,mamba_layers_0-4_6-14_16-24_26-34_36-39,"instrument local B and C after conv split before head repetition",static_hook_only,none,NA,0.566234756098,NA,needs_tiny_gpu_sanity,"B/C concat dimension is 256, so top-1% estimates will be noisy on tiny trace counts."
Granite-4.0-H-Small,mamba_out_projection_input,mamba_layers_0-4_6-14_16-24_26-34_36-39,"forward pre-hook on model.model.layers[i].mamba.out_proj",static_hook_only,none,NA,0.566234756098,NA,needs_tiny_gpu_sanity,"Cleanest internal Mamba module hook; captures post-SSM pre-hidden projection."
Granite-4.0-H-Small,attention_out_projection_input,attention_layers_5_15_25_35,"forward pre-hook on model.model.layers[i].self_attn.o_proj",static_hook_only,none,NA,0.566234756098,NA,needs_tiny_gpu_sanity,"Clean attention internal surface for layer-type contrast."
Falcon-H1,post_block_residual_block_output,all_32_layers,"decoder layer output or output_hidden_states",cached_release_claim,release/results/set_leaving/set_leaving.json,0.673611111111,0.673611111111,"100_to_final_release_grid",measured_high_drift,"Block-output reference is in the 53-67% high-drift regime."
Falcon-H1,ssm_input_x,all_32_layers,"instrument local hidden_states after conv split before scan",static_hook_only,none,NA,0.673611111111,NA,not_first_gate,"Straightforward after Granite, but no cached Falcon internal activations found."
Falcon-H1,ssm_BC_parameter_generation,all_32_layers,"instrument local B and C after conv split before head repetition",static_hook_only,none,NA,0.673611111111,NA,not_first_gate,"Straightforward after Granite, but no cached Falcon internal activations found."
Falcon-H1,mamba_out_projection_input,all_32_layers,"forward pre-hook on model.model.layers[i].mamba.out_proj",static_hook_only,none,NA,0.673611111111,NA,not_first_gate,"Clean module hook in unfused PyTorch path."
Falcon-H1,attention_out_projection_input,all_32_layers,"forward pre-hook on model.model.layers[i].self_attn.o_proj",static_hook_only,none,NA,0.673611111111,NA,not_first_gate,"Clean module hook; every Falcon-H1 block has attention."
