prompt_index,surface,layer_index,base_position,final_position,strict_set_leaving,top1_count
0,attention_out_projection_input,5,100,20000,0.5365853658536586,41
0,attention_out_projection_input,15,100,20000,0.7560975609756098,41
0,attention_out_projection_input,25,100,20000,0.8292682926829268,41
0,attention_out_projection_input,35,100,20000,0.9512195121951219,41
0,mamba_out_projection_input,0,100,20000,0.7682926829268293,82
0,mamba_out_projection_input,1,100,20000,1.0,82
0,mamba_out_projection_input,2,100,20000,0.9878048780487805,82
0,mamba_out_projection_input,3,100,20000,0.926829268292683,82
0,mamba_out_projection_input,4,100,20000,0.9024390243902439,82
0,mamba_out_projection_input,6,100,20000,0.9390243902439024,82
0,mamba_out_projection_input,7,100,20000,0.9512195121951219,82
0,mamba_out_projection_input,8,100,20000,0.9390243902439024,82
0,mamba_out_projection_input,9,100,20000,0.9634146341463414,82
0,mamba_out_projection_input,10,100,20000,0.9634146341463414,82
0,mamba_out_projection_input,11,100,20000,0.9512195121951219,82
0,mamba_out_projection_input,12,100,20000,0.9634146341463414,82
0,mamba_out_projection_input,13,100,20000,0.9512195121951219,82
0,mamba_out_projection_input,14,100,20000,0.8658536585365854,82
0,mamba_out_projection_input,16,100,20000,0.975609756097561,82
0,mamba_out_projection_input,17,100,20000,0.9634146341463414,82
0,mamba_out_projection_input,18,100,20000,0.8658536585365854,82
0,mamba_out_projection_input,19,100,20000,0.975609756097561,82
0,mamba_out_projection_input,20,100,20000,0.9634146341463414,82
0,mamba_out_projection_input,21,100,20000,0.9634146341463414,82
0,mamba_out_projection_input,22,100,20000,0.9512195121951219,82
0,mamba_out_projection_input,23,100,20000,0.9146341463414634,82
0,mamba_out_projection_input,24,100,20000,0.8902439024390244,82
0,mamba_out_projection_input,26,100,20000,0.8658536585365854,82
0,mamba_out_projection_input,27,100,20000,0.8780487804878049,82
0,mamba_out_projection_input,28,100,20000,0.9390243902439024,82
0,mamba_out_projection_input,29,100,20000,0.9024390243902439,82
0,mamba_out_projection_input,30,100,20000,0.8536585365853658,82
0,mamba_out_projection_input,31,100,20000,0.8902439024390244,82
0,mamba_out_projection_input,32,100,20000,0.7804878048780488,82
0,mamba_out_projection_input,33,100,20000,0.8536585365853658,82
0,mamba_out_projection_input,34,100,20000,0.8292682926829268,82
0,mamba_out_projection_input,36,100,20000,0.8292682926829268,82
0,mamba_out_projection_input,37,100,20000,0.8170731707317074,82
0,mamba_out_projection_input,38,100,20000,0.926829268292683,82
0,mamba_out_projection_input,39,100,20000,0.7926829268292683,82
