split,variant,seed,pass_gate,matched_accuracy,target_accuracy,same_byte_structured_text_accuracy,best_destructive_control,best_destructive_control_accuracy,candidate_derangement_accuracy,matched_minus_target,matched_minus_best_destructive,matched_minus_same_byte_text,paired_ci95_low_vs_target
validation,matched_fourier_anchor_syndrome,47,True,0.38461538461538464,0.24414715719063546,0.33444816053511706,zero_source,0.24414715719063546,0.20066889632107024,0.14046822742474918,0.14046822742474918,0.05016722408026758,0.06688963210702341
validation,matched_fourier_anchor_syndrome,53,True,0.3879598662207358,0.24414715719063546,0.33444816053511706,target_derived_sidecar,0.2508361204013378,0.19732441471571907,0.14381270903010035,0.137123745819398,0.05351170568561875,0.07357859531772576
validation,matched_fourier_anchor_syndrome,59,True,0.38461538461538464,0.24414715719063546,0.33444816053511706,target_derived_sidecar,0.24749163879598662,0.19732441471571907,0.14046822742474918,0.137123745819398,0.05016722408026758,0.07851170568561874
validation,matched_fourier_anchor_syndrome,61,True,0.38461538461538464,0.24414715719063546,0.33444816053511706,target_derived_sidecar,0.24749163879598662,0.19732441471571907,0.14046822742474918,0.137123745819398,0.05016722408026758,0.06847826086956522
validation,matched_fourier_anchor_syndrome,67,True,0.3879598662207358,0.24414715719063546,0.33444816053511706,random_same_byte_packet,0.27424749163879597,0.19732441471571907,0.14381270903010035,0.11371237458193983,0.05351170568561875,0.07357859531772576
validation,anchor_id_shuffle,47,False,0.22408026755852842,0.24414715719063546,0.33444816053511706,shuffled_source_packet,0.29431438127090304,0.2608695652173913,-0.020066889632107038,-0.07023411371237462,-0.11036789297658864,-0.09364548494983277
validation,anchor_id_shuffle,53,False,0.25418060200668896,0.24414715719063546,0.33444816053511706,random_same_byte_packet,0.2909698996655518,0.25752508361204013,0.010033444816053505,-0.03678929765886285,-0.0802675585284281,-0.048578595317725744
validation,anchor_id_shuffle,59,False,0.2709030100334448,0.24414715719063546,0.33444816053511706,shuffled_source_packet,0.26421404682274247,0.22073578595317725,0.026755852842809347,0.006688963210702337,-0.06354515050167225,-0.04013377926421405
validation,anchor_id_shuffle,61,False,0.21739130434782608,0.24414715719063546,0.33444816053511706,random_same_byte_packet,0.25752508361204013,0.23411371237458195,-0.026755852842809374,-0.04013377926421405,-0.11705685618729098,-0.08695652173913043
validation,anchor_id_shuffle,67,False,0.25418060200668896,0.24414715719063546,0.33444816053511706,shuffled_source_packet,0.27759197324414714,0.18394648829431437,0.010033444816053505,-0.02341137123745818,-0.0802675585284281,-0.05351170568561873
validation,anchor_value_shuffle,47,False,0.27424749163879597,0.24414715719063546,0.33444816053511706,shuffled_source_packet,0.2842809364548495,0.24749163879598662,0.030100334448160515,-0.010033444816053505,-0.060200668896321086,-0.043478260869565216
validation,anchor_value_shuffle,53,False,0.23076923076923078,0.24414715719063546,0.33444816053511706,random_same_byte_packet,0.2709030100334448,0.2709030100334448,-0.013377926421404673,-0.04013377926421402,-0.10367892976588627,-0.0802675585284281
validation,anchor_value_shuffle,59,False,0.3110367892976589,0.24414715719063546,0.33444816053511706,target_derived_sidecar,0.2508361204013378,0.2140468227424749,0.06688963210702342,0.060200668896321086,-0.02341137123745818,-0.0033444816053511705
validation,anchor_value_shuffle,61,False,0.22073578595317725,0.24414715719063546,0.33444816053511706,candidate_derangement,0.27424749163879597,0.27424749163879597,-0.023411371237458206,-0.05351170568561872,-0.1137123745819398,-0.0903010033444816
validation,anchor_value_shuffle,67,False,0.24749163879598662,0.24414715719063546,0.33444816053511706,random_same_byte_packet,0.2809364548494983,0.25752508361204013,0.0033444816053511683,-0.03344481605351168,-0.08695652173913043,-0.06864548494983276
validation,spectral_bin_permutation,47,False,0.23411371237458195,0.24414715719063546,0.33444816053511706,candidate_derangement,0.27759197324414714,0.27759197324414714,-0.010033444816053505,-0.04347826086956519,-0.1003344481605351,-0.07692307692307693
validation,spectral_bin_permutation,53,False,0.28762541806020064,0.24414715719063546,0.33444816053511706,random_same_byte_packet,0.2608695652173913,0.25418060200668896,0.04347826086956519,0.026755852842809347,-0.04682274247491641,-0.021822742474916383
validation,spectral_bin_permutation,59,False,0.2608695652173913,0.24414715719063546,0.33444816053511706,random_same_byte_packet,0.2909698996655518,0.24414715719063546,0.01672240802675584,-0.030100334448160515,-0.07357859531772576,-0.048578595317725744
validation,spectral_bin_permutation,61,False,0.27424749163879597,0.24414715719063546,0.33444816053511706,target_derived_sidecar,0.2508361204013378,0.23411371237458195,0.030100334448160515,0.02341137123745818,-0.060200668896321086,-0.03520066889632106
validation,spectral_bin_permutation,67,False,0.23411371237458195,0.24414715719063546,0.33444816053511706,candidate_derangement,0.2709030100334448,0.2709030100334448,-0.010033444816053505,-0.03678929765886285,-0.1003344481605351,-0.0802675585284281
validation,random_anchors_same_count,47,True,0.3879598662207358,0.24414715719063546,0.33444816053511706,shuffled_source_packet,0.2709030100334448,0.19732441471571907,0.14381270903010035,0.117056856187291,0.05351170568561875,0.07023411371237458
validation,random_anchors_same_count,53,True,0.3879598662207358,0.24414715719063546,0.33444816053511706,shuffled_source_packet,0.2709030100334448,0.19732441471571907,0.14381270903010035,0.117056856187291,0.05351170568561875,0.07357859531772576
validation,random_anchors_same_count,59,True,0.3879598662207358,0.24414715719063546,0.33444816053511706,random_same_byte_packet,0.3010033444816054,0.19732441471571907,0.14381270903010035,0.08695652173913043,0.05351170568561875,0.08185618729096991
validation,random_anchors_same_count,61,True,0.3879598662207358,0.24414715719063546,0.33444816053511706,random_same_byte_packet,0.25418060200668896,0.19732441471571907,0.14381270903010035,0.13377926421404684,0.05351170568561875,0.07182274247491639
validation,random_anchors_same_count,67,True,0.3879598662207358,0.24414715719063546,0.33444816053511706,random_same_byte_packet,0.26755852842809363,0.19732441471571907,0.14381270903010035,0.12040133779264217,0.05351170568561875,0.07357859531772576
test,matched_fourier_anchor_syndrome,47,True,0.34215017064846415,0.26535836177474403,0.3003412969283277,zero_source,0.26535836177474403,0.2167235494880546,0.07679180887372011,0.07679180887372011,0.041808873720136475,0.043515358361774746
test,matched_fourier_anchor_syndrome,53,True,0.3455631399317406,0.26535836177474403,0.3003412969283277,zero_source,0.26535836177474403,0.21331058020477817,0.08020477815699656,0.08020477815699656,0.04522184300341292,0.044773890784982937
test,matched_fourier_anchor_syndrome,59,True,0.3430034129692833,0.26535836177474403,0.3003412969283277,zero_source,0.26535836177474403,0.21416382252559726,0.07764505119453924,0.07764505119453924,0.0426621160409556,0.03794795221843004
test,matched_fourier_anchor_syndrome,61,True,0.3447098976109215,0.26535836177474403,0.3003412969283277,zero_source,0.26535836177474403,0.2150170648464164,0.07935153583617749,0.07935153583617749,0.04436860068259385,0.03961177474402731
test,matched_fourier_anchor_syndrome,67,True,0.3430034129692833,0.26535836177474403,0.3003412969283277,zero_source,0.26535836177474403,0.21416382252559726,0.07764505119453924,0.07764505119453924,0.0426621160409556,0.041360921501706484
test,anchor_id_shuffle,47,False,0.24744027303754265,0.26535836177474403,0.3003412969283277,zero_source,0.26535836177474403,0.24744027303754265,-0.017918088737201382,-0.017918088737201382,-0.05290102389078502,-0.05631399317406143
test,anchor_id_shuffle,53,False,0.25170648464163825,0.26535836177474403,0.3003412969283277,zero_source,0.26535836177474403,0.2568259385665529,-0.013651877133105783,-0.013651877133105783,-0.04863481228668942,-0.04692832764505119
test,anchor_id_shuffle,59,False,0.26023890784982934,0.26535836177474403,0.3003412969283277,candidate_derangement,0.2764505119453925,0.2764505119453925,-0.005119453924914696,-0.01621160409556316,-0.040102389078498335,-0.03839590443686007
test,anchor_id_shuffle,61,False,0.2551194539249147,0.26535836177474403,0.3003412969283277,zero_source,0.26535836177474403,0.2593856655290102,-0.010238907849829337,-0.010238907849829337,-0.045221843003412976,-0.04436860068259386
test,anchor_id_shuffle,67,False,0.2593856655290102,0.26535836177474403,0.3003412969283277,random_same_byte_packet,0.26621160409556316,0.24573378839590443,-0.005972696245733822,-0.006825938566552947,-0.04095563139931746,-0.0422994880546075
test,anchor_value_shuffle,47,False,0.2645051194539249,0.26535836177474403,0.3003412969283277,zero_source,0.26535836177474403,0.2295221843003413,-0.0008532423208191253,-0.0008532423208191253,-0.035836177474402764,-0.03713737201365187
test,anchor_value_shuffle,53,False,0.2354948805460751,0.26535836177474403,0.3003412969283277,target_derived_sidecar,0.26621160409556316,0.24146757679180889,-0.029863481228668942,-0.030716723549488067,-0.06484641638225258,-0.06228668941979522
test,anchor_value_shuffle,59,False,0.23293515358361774,0.26535836177474403,0.3003412969283277,target_derived_sidecar,0.26706484641638223,0.25853242320819114,-0.03242320819112629,-0.034129692832764486,-0.06740614334470993,-0.06785409556313993
test,anchor_value_shuffle,61,False,0.2508532423208191,0.26535836177474403,0.3003412969283277,zero_source,0.26535836177474403,0.24914675767918087,-0.014505119453924908,-0.014505119453924908,-0.04948805460750855,-0.05249573378839591
test,anchor_value_shuffle,67,False,0.2354948805460751,0.26535836177474403,0.3003412969283277,zero_source,0.26535836177474403,0.257679180887372,-0.029863481228668942,-0.029863481228668942,-0.06484641638225258,-0.06484641638225255
